,website,region,Finanacial Status
87,http://cms.ac-martinique.fr/etablissement/lgtmontgerald/,Martinique,public
88,http://cms.ac-martinique.fr/etablissement/lpoplacedarmes/,Martinique,public
89,http://cnamsecuritedefense.fr,Bretagne,public
90,http://cnsnmm.sports.gouv.fr/index.php?option=com_content&view=article&id=429&Itemid=93,Bourgogne-Franche-Comté,public
91,http://colbert-lyc.spip.ac-rouen.fr/,Normandie,public
92,http://coliniere.e-lyco.fr/,Pays de la Loire,public
93,http://condorcet.u-bourgogne.fr/,Bourgogne-Franche-Comté,public
94,http://corotdouai.etab.ac-lille.fr/,Hauts-de-France,public
95,http://coubertin-lyc.spip.ac-rouen.fr,Normandie,public
96,http://cpda.cnam.fr,Ile-de-France,public
97,http://crr-bb.seineouest.fr,Ile-de-France,public
98,http://crr.annecy.fr,Auvergne-Rhône-Alpes,public
99,http://cuej.unistra.fr,Grand Est,public
100,http://cva.parisnanterre.fr,Ile-de-France,public
101,http://de-lattre.e-lyco.fr,Pays de la Loire,public
102,http://deccid.univ-lille.fr/infocom/,Hauts-de-France,public
103,http://deccid.univ-lille.fr/scienceseducation/,Hauts-de-France,public
104,http://deccid.univ-lille.fr/sid/,Hauts-de-France,public
105,http://decretot-lyc.spip.ac-rouen.fr/,Normandie,public
106,http://dentaire.ups-tlse.fr,Occitanie,public
107,http://departement-ingenieur.univ-antilles.fr,Guadeloupe,public
108,http://dlc-csh.u-bordeaux.fr/,Nouvelle-Aquitaine,public
109,http://douanier-rousseau.e-lyco.fr/,Pays de la Loire,public
110,http://droit-eco-gestion.univ-rouen.fr/,Normandie,public
111,http://droit-eco-gestion.univ-rouen.fr/institut-d-etudes-judiciaires-234656.kjsp?RH=1380117730129&RF=1380117730129,Normandie,public
112,http://droit-laval.univ-lemans.fr/,Pays de la Loire,public
113,http://droit.u-bordeaux.fr,Nouvelle-Aquitaine,public
114,http://droit.u-pec.fr,Ile-de-France,public
115,http://droit.uca.fr/,Auvergne-Rhône-Alpes,public
116,http://droit.unistra.fr,Grand Est,public
117,http://droit.univ-lille.fr/,Hauts-de-France,public
118,http://droit.univ-lille.fr/les-instituts-facultaires-de-la-fsjps//institut-de-criminologie/,Hauts-de-France,public
119,http://droit.univ-lille.fr/les-instituts-facultaires-de-la-fsjps/institut-detudes-judiciaires-iej/,Hauts-de-France,public
120,http://droit.univ-poitiers.fr,Nouvelle-Aquitaine,public
121,http://droit.univ-tln.fr,Provence-Alpes-Côte d'Azur,public
122,http://droit.univ-tours.fr,Centre-Val de Loire,public
123,http://du-bellay.paysdelaloire.e-lyco.fr,Pays de la Loire,public
124,http://ducharmoy.lyc.ac-guadeloupe.fr/,Guadeloupe,public
125,http://dumezil-lyc.spip.ac-rouen.fr/,Normandie,public
126,http://duperre.org/,Ile-de-France,public
127,http://duplessis-mornay.e-lyco.fr,Pays de la Loire,public
128,http://eaux-claires.ent.auvergnerhonealpes.fr,Auvergne-Rhône-Alpes,public
129,http://eco.univ-tln.fr,Provence-Alpes-Côte d'Azur,public
130,http://ecoconseil.org,Grand Est,privé reconnu par l'Etat
131,http://ecodroit.univ-lemans.fr/,Pays de la Loire,public
132,http://ecogestion.unistra.fr,Grand Est,public
133,http://ecole-du-digital.com/campus/bordeaux,Nouvelle-Aquitaine,privé
134,http://ecole-ingenieurs.cesi.fr,Auvergne-Rhône-Alpes,privé reconnu par l'Etat
135,http://ecole-ingenieurs.cesi.fr,Centre-Val de Loire,privé reconnu par l'Etat
136,http://ecole-ingenieurs.cesi.fr,Grand Est,privé reconnu par l'Etat
137,http://ecole-ingenieurs.cesi.fr,Hauts-de-France,privé reconnu par l'Etat
138,http://ecole-ingenieurs.cesi.fr,Normandie,privé reconnu par l'Etat
139,http://ecole-ingenieurs.cesi.fr,Nouvelle-Aquitaine,privé reconnu par l'Etat
140,http://ecole-ingenieurs.cesi.fr,Occitanie,privé reconnu par l'Etat
141,http://ecole-ingenieurs.cesi.fr,Provence-Alpes-Côte d'Azur,privé reconnu par l'Etat
142,http://ecole-lycee-renoir-paris.fr,Ile-de-France,public
143,http://ecole-pstc.fr/,Ile-de-France,privé
144,http://ecole-travelling.com/,Occitanie,privé
145,http://ecole.centralelille.fr,Hauts-de-France,public
146,http://ecole.cipecma.com,Nouvelle-Aquitaine,privé
147,http://ecole.le-cercle-digital.fr/,Centre-Val de Loire,privé
148,http://ecolegarti.com,Ile-de-France,privé sous contrat
149,http://ecolelatelier.com,Nouvelle-Aquitaine,privé
150,http://ecoles-conde.com,Provence-Alpes-Côte d'Azur,privé
151,http://ecolesensante.chr-metz-thionville.fr,Grand Est,public
152,http://economie.u-bordeaux.fr,Nouvelle-Aquitaine,public
153,http://ecpm.unistra.fr,Grand Est,public
154,http://egc.cci.nc,Collectivités d'outre-mer,privé reconnu par l'Etat
155,http://ejcam.univ-amu.fr/,Provence-Alpes-Côte d'Azur,public
156,http://eklya.fr,Auvergne-Rhône-Alpes,privé reconnu par l'Etat
157,http://elyoncompany.com/index.html#accueil,Ile-de-France,privé
158,http://emap.re,La Réunion,privé sous contrat
159,http://emmanuel-mounier.ent.auvergnerhonealpes.fr,Auvergne-Rhône-Alpes,public
160,http://enamoma.psl.eu,Ile-de-France,public
161,http://enim.univ-lorraine.fr,Grand Est,public
162,http://enseignement-catholique-ledonien.fr/,Bourgogne-Franche-Comté,privé sous contrat
163,http://enseignementsuperieur.mnhn.fr,Ile-de-France,public
164,http://ensim.univ-lemans.fr,Pays de la Loire,public
165,http://ensimag.grenoble-inp.fr,Auvergne-Rhône-Alpes,public
166,http://epl.carpentras.educagri.fr,Provence-Alpes-Côte d'Azur,public
167,http://eplea66.net,Occitanie,public
168,http://epleanevers.educagri.fr/,Bourgogne-Franche-Comté,public
169,http://eplefpa-lerobert.educagri.fr,Martinique,public
170,http://eracm.fr,Provence-Alpes-Côte d'Azur,public
171,http://erfan-grenoble.fr,Auvergne-Rhône-Alpes,privé sous contrat
172,http://ergotherapie.u-pec.fr/,Ile-de-France,public
173,http://ergotherapiemontpellier.com,Occitanie,privé sous contrat
174,http://ernest-couteaux-saint-amand-les-eaux.enthdf.fr/,Hauts-de-France,public
175,http://erudi.univ-lorraine.fr/,Grand Est,public
176,http://esaavignon.eu,Provence-Alpes-Côte d'Azur,public
177,http://esad-talm.fr,Centre-Val de Loire,public
178,http://esad-talm.fr/,Pays de la Loire,public
179,http://esadorleans.fr,Centre-Val de Loire,public
180,http://esalorraine.fr,Grand Est,public
181,http://esao.eu,Normandie,privé
182,http://esipe.univ-gustave-eiffel.fr/,Ile-de-France,public
183,http://esirem.u-bourgogne.fr,Bourgogne-Franche-Comté,public
184,http://esiroi.univ-reunion.fr,La Réunion,public
185,http://esisar.grenoble-inp.fr,Auvergne-Rhône-Alpes,public
186,http://esix.unicaen.fr,Normandie,public
187,http://espe.unistra.fr,Grand Est,public
188,http://espe.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
189,http://espe.univ-reunion.fr/,La Réunion,public
190,http://espe.univ-rouen.fr,Normandie,public
191,http://espe.univ-toulouse.fr,Occitanie,public
192,http://esslil.fr,Hauts-de-France,privé reconnu par l'Etat
193,http://estournelles-constant.paysdelaloire.e-lyco.fr/,Pays de la Loire,public
194,http://estran-brest.fr,Bretagne,privé sous contrat
195,http://etab.ac-poitiers.fr/lyc-venise-verte-niort,Nouvelle-Aquitaine,public
196,http://etab.ac-poitiers.fr/lycee-guy-chauvet,Nouvelle-Aquitaine,public
197,http://etablieres.fr,Pays de la Loire,privé sous contrat
198,http://ethique.unistra.fr,Grand Est,public
199,http://etudesanglophones.u-paris.fr/,Ile-de-France,public
200,http://eupi.uca.fr,Auvergne-Rhône-Alpes,public
201,http://europeschuman.e-lyco.fr,Pays de la Loire,public
202,http://f3s.unistra.fr,Grand Est,public
203,http://fac-all.univ-st-etienne.fr,Auvergne-Rhône-Alpes,public
204,http://fac-droit-economie-administration.univ-lorraine.fr,Grand Est,public
205,http://fac-droit.univ-lorraine.fr,Grand Est,public
206,http://fac-droit.univ-lorraine.fr/,Grand Est,public
207,http://fac-sciences.univ-st-etienne.fr,Auvergne-Rhône-Alpes,public
208,http://fac-shs.univ-st-etienne.fr,Auvergne-Rhône-Alpes,public
209,http://facdedroit.univ-amu.fr/,Provence-Alpes-Côte d'Azur,public
210,http://facdedroit.univ-lyon3.fr,Auvergne-Rhône-Alpes,public
211,http://facdephilo.univ-lyon3.fr,Auvergne-Rhône-Alpes,public
212,http://facdeslangues.univ-lyon3.fr,Auvergne-Rhône-Alpes,public
213,http://facdeslettres.univ-lyon3.fr,Auvergne-Rhône-Alpes,public
214,http://fai.univ-lehavre.fr/,Normandie,public
215,http://faustinfleret.lyc.ac-guadeloupe.fr/,Guadeloupe,public
216,http://feg.univ-amu.fr,Provence-Alpes-Côte d'Azur,public
217,http://feg.univ-amu.fr/,Provence-Alpes-Côte d'Azur,public
218,http://fenelon63.fr/,Auvergne-Rhône-Alpes,privé sous contrat
219,http://ferdinand-buisson.ent.auvergnerhonealpes.fr,Auvergne-Rhône-Alpes,public
220,http://formagri33.com/epl,Nouvelle-Aquitaine,public
221,http://formation.aphp.fr/index.php,Ile-de-France,public
222,http://formation.ch-cholet.fr/,Pays de la Loire,public
223,http://formation.univ-pau.fr/fr/colleges/college-ssh/institut-d-etudes-judiciaires-iej.html,Nouvelle-Aquitaine,public
224,http://formations.univ-amu.fr,Provence-Alpes-Côte d'Azur,public
225,http://formations.univ-antilles.fr/#/structure_accueil/1,Guadeloupe,public
226,http://formations.univ-antilles.fr/#/structure_accueil/2,Guadeloupe,public
227,http://formations.univ-antilles.fr/#/structure_accueil/4,Guadeloupe,public
228,http://fr.ap-hm.fr/site/cfpph,Provence-Alpes-Côte d'Azur,public
229,http://fr.ap-hm.fr/site/ifmem,Provence-Alpes-Côte d'Azur,public
230,http://fr.ap-hm.fr/site/ifsic,Provence-Alpes-Côte d'Azur,public
231,http://fr.ap-hm.fr/site/ifsin,Provence-Alpes-Côte d'Azur,public
232,http://fr.ap-hm.fr/site/ifsis,Provence-Alpes-Côte d'Azur,public
233,http://francas-hautsdefrance.com,Hauts-de-France,privé sous contrat
234,http://francois-arago.mon-ent-occitanie.fr,Occitanie,public
235,http://fss.univ-amu.fr,Provence-Alpes-Côte d'Azur,public
236,http://fss.univ-poitiers.fr,Nouvelle-Aquitaine,public
237,http://fst-biologie.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
238,http://fst-gep.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
239,http://fst-informatique.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
240,http://fst-mathematiques.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
241,http://fst-meca.univ-lyon1.fr/,Auvergne-Rhône-Alpes,public
242,http://fst-physique.univ-lyon1.fr,Auvergne-Rhône-Alpes,public
243,http://fst.univ-lorraine.fr/,Grand Est,public
244,http://ftlvreunion.fr,La Réunion,public
245,http://funay-boucher.paysdelaloire.e-lyco.fr/,Pays de la Loire,public
246,http://galilee-lyc.spip.ac-rouen.fr,Normandie,public
247,http://galilee.ent.auvergnerhonealpes.fr,Auvergne-Rhône-Alpes,public
248,http://galilee.univ-paris13.fr/ingenieurs/,Ile-de-France,public
249,http://gamagora.univ-lyon2.fr/,Auvergne-Rhône-Alpes,public
250,http://gbrassens-lyc.spip.ac-rouen.fr,Normandie,public
251,http://gclemenceau.paysdelaloire.e-lyco.fr,Pays de la Loire,public
252,http://genie-industriel.grenoble-inp.fr,Auvergne-Rhône-Alpes,public
253,http://grand-air.e-lyco.fr/lycee/,Pays de la Loire,public
254,http://granvelle.educagri.fr,Bourgogne-Franche-Comté,public
255,http://grassecampus.fr,Provence-Alpes-Côte d'Azur,public
256,http://groupe-insa.fr/,Normandie,public
257,http://guingamp.uco.fr,Bretagne,privé sous contrat
258,http://gustave-eiffel-gannat.ent.auvergnerhonealpes.fr/,Auvergne-Rhône-Alpes,public
259,http://haute-auvergne-saint-flour.ent.auvergnerhonealpes.fr/,Auvergne-Rhône-Alpes,public
260,http://hebert-lyc.spip.ac-rouen.fr/,Normandie,public
261,http://heinlex.paysdelaloire.e-lyco.fr/,Pays de la Loire,public
262,http://henri-sainte-claire-deville-issoire.ent.auvergnerhonealpes.fr/,Auvergne-Rhône-Alpes,public
263,http://henri.becquerel.free.fr,Ile-de-France,public
264,http://herdrie.e-lyco.fr,Pays de la Loire,public
265,http://histoire.unistra.fr,Grand Est,public
266,http://humanites.univ-lille.fr/arts/,Hauts-de-France,public
267,http://humanites.univ-lille.fr/histoire-art/,Hauts-de-France,public
268,http://humanites.univ-lille.fr/histoire/,Hauts-de-France,public
269,http://humanites.univ-lille.fr/langues-cultures-antiques/,Hauts-de-France,public
270,http://humanites.univ-lille.fr/lettres-modernes/,Hauts-de-France,public
